n,has_partitions,p,q,j,k
499,True,2,491,3,1
499,True,2,3,8,5
503,True,2,439,6,1
503,True,2,487,4,1
503,True,2,499,2,1
479,True,2,223,8,1
479,True,2,463,4,1
521,True,2,457,6,1
521,True,2,3,9,2
523,True,2,491,5,1
523,True,2,521,1,1
523,True,2,11,9,1
541,True,2,509,5,1
541,True,2,29,9,1
509,False,,,,
557,True,2,541,4,1
547,True,2,419,7,1
563,True,2,547,4,1
563,True,2,499,6,1
563,True,2,307,8,1
569,True,2,313,8,1
571,True,2,569,1,1
571,True,2,59,9,1
571,True,2,563,3,1
571,True,2,443,7,1
577,True,2,449,7,1
577,True,2,569,3,1
587,True,2,523,6,1
587,True,2,571,4,1
587,True,2,331,8,1
593,True,2,337,8,1
593,True,2,577,4,1
593,True,2,23,6,2
593,True,2,3,9,4
601,True,2,89,9,1
601,True,2,569,5,1
601,True,2,599,1,1
601,True,2,593,3,1
607,True,2,479,7,1
607,True,2,599,3,1
613,True,2,101,9,1
599,True,2,7,8,3
619,True,2,617,1,1
619,True,2,587,5,1
619,True,2,107,9,1
619,True,2,491,7,1
617,True,2,19,8,2
617,True,2,601,4,1
617,True,2,613,2,1
643,True,2,131,9,1
643,True,2,641,1,1
641,True,2,5,4,4
641,True,2,577,6,1
631,True,2,599,5,1
631,True,2,503,7,1
647,True,2,643,2,1
647,True,2,631,4,1
653,True,2,397,8,1
659,True,2,643,4,1
661,True,2,149,9,1
661,True,2,653,3,1
661,True,2,659,1,1
673,True,2,641,5,1
677,True,2,661,4,1
677,True,2,421,8,1
677,True,2,673,2,1
677,True,2,613,6,1
683,True,2,619,6,1
701,False,,,,
691,True,2,683,3,1
691,True,2,563,7,1
691,True,2,659,5,1
691,True,2,179,9,1
709,True,2,701,3,1
709,True,2,197,9,1
709,True,2,677,5,1
719,True,2,463,8,1
733,True,2,701,5,1
733,True,2,3,2,6
727,True,2,599,7,1
727,True,2,719,3,1
739,True,2,227,9,1
751,True,2,719,5,1
751,True,2,239,9,1
751,True,2,743,3,1
743,True,2,739,2,1
743,True,2,727,4,1
743,True,2,487,8,1
761,True,2,3,5,6
761,True,2,757,2,1
757,False,,,,
769,True,2,641,7,1
769,True,2,257,9,1
769,True,2,761,3,1
773,True,2,709,6,1
773,True,2,757,4,1
773,True,2,769,2,1
787,True,2,659,7,1
811,True,2,683,7,1
811,True,2,809,1,1
797,True,2,541,8,1
797,True,2,733,6,1
821,True,2,757,6,1
809,False,,,,
827,True,2,823,2,1
827,True,2,571,8,1
827,True,2,811,4,1
823,True,2,311,9,1
823,True,2,821,1,1
829,True,2,317,9,1
829,True,2,797,5,1
829,True,2,701,7,1
829,True,2,821,3,1
829,True,2,827,1,1
839,True,2,823,4,1
857,True,2,29,4,2
857,True,2,601,8,1
857,True,2,853,2,1
857,True,2,3,7,6
853,True,2,821,5,1
859,True,2,827,5,1
859,True,2,857,1,1
859,True,2,347,9,1
863,True,2,859,2,1
863,True,2,607,8,1
881,True,2,877,2,1
881,True,2,5,8,4
883,True,2,881,1,1
877,False,,,,
887,True,2,883,2,1
887,True,2,823,6,1
887,True,2,631,8,1
911,True,2,907,2,1
907,False,,,,
937,True,2,929,3,1
937,True,2,809,7,1
929,True,2,673,8,1
919,True,2,887,5,1
919,True,2,911,3,1
947,True,2,883,6,1
947,True,2,691,8,1
941,True,2,877,6,1
941,True,2,937,2,1
953,True,2,937,4,1
967,True,2,839,7,1
971,True,2,967,2,1
971,True,2,907,6,1
977,True,2,31,4,2
983,True,2,919,6,1
983,True,2,967,4,1
983,True,2,727,8,1
991,True,2,479,9,1
991,True,2,863,7,1
991,True,2,983,3,1
997,False,,,,
1009,True,2,881,7,1
1009,True,2,977,5,1
1013,True,2,757,8,1
1013,True,2,997,4,1
1013,True,2,1009,2,1
1019,False,,,,
1031,True,2,7,10,1
1031,True,2,967,6,1
1021,True,2,1013,3,1
1021,True,2,1019,1,1
1021,True,2,509,9,1
1033,True,2,521,9,1
1033,True,2,3,10,2
1033,True,2,1031,1,1
1051,True,2,1019,5,1
1051,True,2,1049,1,1
1051,True,2,3,10,3
1061,True,2,997,6,1
1061,True,2,37,10,1
1049,True,2,1033,4,1
1049,True,2,5,10,2
1039,True,2,1031,3,1
1039,True,2,911,7,1
1087,False,,,,
1069,True,2,1061,3,1
1069,True,2,941,7,1
1069,True,2,557,9,1
1091,True,2,1087,2,1
1091,True,2,67,10,1
1093,True,2,1061,5,1
1093,True,2,1091,1,1
1097,True,2,1033,6,1
1097,True,2,1093,2,1
1097,True,2,29,8,2
1097,True,2,73,10,1
1103,True,2,1039,6,1
1103,True,2,79,10,1
1103,True,2,1087,4,1
1063,True,2,1061,1,1
1063,True,2,1031,5,1
1109,True,2,853,8,1
1109,True,2,1093,4,1
1117,True,2,1109,3,1
1129,True,2,1097,5,1
1129,True,2,617,9,1
1153,True,2,1151,1,1
1153,True,2,641,9,1
1123,True,2,1091,5,1
1151,True,2,1087,6,1
1151,True,2,127,10,1
1171,True,2,659,9,1
1171,True,2,1163,3,1
1181,True,2,157,10,1
1181,True,2,1117,6,1
1187,True,2,1123,6,1
1187,True,2,163,10,1
1187,True,2,1171,4,1
1193,True,2,13,10,2
1193,True,2,937,8,1
1193,True,2,1129,6,1
1163,True,2,139,10,1
1163,True,2,907,8,1
1201,True,2,1193,3,1
1213,True,2,701,9,1
1213,True,2,1181,5,1
1217,True,2,31,8,2
1217,True,2,193,10,1
1217,True,2,1213,2,1
1217,True,2,1153,6,1
1217,True,2,1201,4,1
1223,True,2,199,10,1
1223,True,2,967,8,1
1229,True,2,1213,4,1
1237,True,2,1229,3,1
1237,True,2,1109,7,1
1231,True,2,1229,1,1
1231,True,2,719,9,1
1231,True,2,1103,7,1
1231,True,2,1223,3,1
1249,True,2,1217,5,1
1259,False,,,,
1283,True,2,1279,2,1
1279,True,2,1277,1,1
1279,True,2,1151,7,1
1277,True,2,1021,8,1
1277,True,2,1213,6,1
1289,True,2,1033,8,1
1297,True,2,1289,3,1
1291,True,2,1289,1,1
1291,True,2,1259,5,1
1291,True,2,1163,7,1
1291,True,2,1283,3,1
1301,True,2,277,10,1
1301,True,2,1297,2,1
1301,True,2,1237,6,1
1303,True,2,1301,1,1
1307,True,2,283,10,1
1307,True,2,1303,2,1
1307,True,2,1291,4,1
1307,True,2,1051,8,1
1321,True,2,1193,7,1
1321,True,2,1289,5,1
1321,True,2,1319,1,1
1321,True,2,809,9,1
1319,True,2,1303,4,1
1319,True,2,1063,8,1
1367,True,2,1303,6,1
1367,True,2,7,10,3
1373,True,2,1117,8,1
1373,True,2,37,2,2
1373,True,2,349,10,1
1361,True,2,337,10,1
1361,True,2,1297,6,1
1327,True,2,1319,3,1
1381,True,2,1373,3,1
1399,True,2,1367,5,1
1399,True,2,887,9,1
1409,True,2,1153,8,1
1423,True,2,911,9,1
1429,True,2,1427,1,1
1429,True,2,1301,7,1
1427,True,2,1423,2,1
1427,True,2,1171,8,1
1439,True,2,1423,4,1
1433,True,2,37,6,2
1433,True,2,1429,2,1
1433,True,2,409,10,1
1447,True,2,1319,7,1
1447,True,2,1439,3,1
1451,True,2,1447,2,1
1459,True,2,11,7,3
1459,True,2,947,9,1
1459,True,2,1451,3,1
1459,True,2,1427,5,1
1471,True,2,1439,5,1
1453,True,2,1451,1,1
1453,True,2,941,9,1
1483,True,2,1481,1,1
1483,True,2,971,9,1
1483,True,2,1451,5,1
1489,True,2,1487,1,1
1489,True,2,1361,7,1
1489,True,2,977,9,1
1489,True,2,1481,3,1
1481,True,2,457,10,1
1493,True,2,1237,8,1
1493,True,2,1429,6,1
1493,True,2,1489,2,1
1487,True,2,1423,6,1
1487,True,2,1231,8,1
1487,True,2,463,10,1
1487,True,2,1483,2,1
1487,True,2,1471,4,1
1499,True,2,1483,4,1
1523,True,2,1459,6,1
1523,True,2,499,10,1
1531,True,2,1499,5,1
1531,True,2,1523,3,1
1531,True,2,1019,9,1
1511,True,2,1447,6,1
1511,True,2,487,10,1
1549,False,,,,
1543,True,2,1511,5,1
1543,True,2,1031,9,1
1567,True,2,1559,3,1
1567,True,2,1439,7,1
1553,True,2,23,10,2
1553,True,2,1297,8,1
1553,True,2,1489,6,1
1553,True,2,1549,2,1
1559,True,2,1543,4,1
1559,True,2,1303,8,1
1571,True,2,547,10,1
1571,True,2,1567,2,1
1579,True,2,1571,3,1
1579,True,2,1451,7,1
1583,True,2,1567,4,1
1583,True,2,1579,2,1
1583,True,2,1327,8,1
1597,False,,,,
1607,True,2,1543,6,1
1601,True,2,1597,2,1
1601,True,2,577,10,1
1609,True,2,1601,3,1
1609,True,2,1481,7,1
1609,True,2,1607,1,1
1609,True,2,1097,9,1
1621,True,2,1493,7,1
1621,True,2,1619,1,1
1621,True,2,1109,9,1
1621,True,2,1613,3,1
1619,False,,,,
1627,True,2,1499,7,1
1627,True,2,1619,3,1
1613,True,2,1597,4,1
1613,True,2,1609,2,1
1613,True,2,1549,6,1
1637,True,2,1621,4,1
1637,True,2,1381,8,1
1637,True,2,613,10,1
1657,False,,,,
1663,True,2,1151,9,1
1667,True,2,1663,2,1
1667,True,2,643,10,1
1669,True,2,1667,1,1
1669,True,2,1637,5,1
1697,True,2,673,10,1
1697,True,2,1693,2,1
1697,True,2,41,4,2
1699,True,2,1667,5,1
1699,True,2,1697,1,1
1699,True,2,1571,7,1
1699,True,2,1187,9,1
1709,True,2,1693,4,1
1709,True,2,1453,8,1
1693,True,2,1181,9,1
1723,True,2,1721,1,1
1721,True,2,1657,6,1
1733,True,2,709,10,1
1733,True,2,1669,6,1
1747,True,2,1619,7,1
1741,True,2,1613,7,1
1741,True,2,1733,3,1
1741,True,2,1709,5,1
1741,True,2,1229,9,1
1759,False,,,,
1777,False,,,,
1753,True,2,3,10,6
1753,True,2,1721,5,1
1789,True,2,1787,1,1
1789,True,2,1277,9,1
1787,True,2,1783,2,1
1787,True,2,1531,8,1
1787,True,2,1723,6,1
1783,False,,,,
1801,True,2,1289,9,1
1811,True,2,1747,6,1
1811,True,2,787,10,1
1823,True,2,1759,6,1
1823,True,2,1567,8,1
1831,True,2,1319,9,1
1831,True,2,1823,3,1
1847,True,2,1783,6,1
1847,True,2,823,10,1
1847,True,2,1831,4,1
1861,True,2,1733,7,1
1871,True,2,1867,2,1
1867,False,,,,
1877,True,2,853,10,1
1877,True,2,1873,2,1
1877,True,2,1861,4,1
1877,True,2,1621,8,1
1873,True,2,1871,1,1
1873,True,2,1361,9,1
1879,True,2,1877,1,1
1879,True,2,1367,9,1
1879,True,2,1847,5,1
1879,True,2,1871,3,1
1901,True,2,877,10,1
1907,True,2,883,10,1
1889,True,2,1873,4,1
1913,True,2,1657,8,1
1913,True,2,43,6,2
1931,True,2,907,10,1
1931,True,2,1867,6,1
1951,True,2,1949,1,1
1951,True,2,1439,9,1
1951,True,2,1823,7,1
1973,False,,,,
1933,True,2,1931,1,1
1933,True,2,1901,5,1
1949,True,2,1693,8,1
1949,True,2,1933,4,1
1987,True,2,1979,3,1
1993,True,2,1481,9,1
1997,True,2,1741,8,1
1997,True,2,1993,2,1
1997,True,2,1933,6,1
1999,True,2,1997,1,1
1999,True,2,1487,9,1
1999,True,2,1871,7,1
2011,True,2,1979,5,1
2011,True,2,1499,9,1
2011,True,2,2003,3,1
1979,True,2,1723,8,1
2003,True,2,1999,2,1
2003,True,2,1987,4,1
2003,True,2,1747,8,1
2017,True,2,1889,7,1
2027,True,2,2011,4,1
2039,True,2,1783,8,1
2029,True,2,1901,7,1
2029,True,2,1997,5,1
2029,True,2,2027,1,1
2053,True,2,5,11,1
2069,True,2,2053,4,1
2063,True,2,1999,6,1
2063,True,2,1039,10,1
2081,True,2,2017,6,1
2083,True,2,1571,9,1
2083,True,2,2081,1,1
2087,True,2,1063,10,1
2087,True,2,1831,8,1
2087,True,2,2083,2,1
2089,True,2,41,11,1
2089,True,2,2081,3,1
2089,True,2,2087,1,1
2099,True,2,2083,4,1
2111,True,2,1087,10,1
2113,True,2,2111,1,1
2113,True,2,1601,9,1
2113,True,2,2081,5,1
2129,True,2,1873,8,1
2129,True,2,3,11,4
2129,True,2,2113,4,1
2137,True,2,2129,3,1
2137,True,2,89,11,1
2131,True,2,83,11,1
2131,True,2,2129,1,1
2131,True,2,1619,9,1
2131,True,2,2099,5,1
2131,True,2,2003,7,1
2143,True,2,2111,5,1
2143,True,2,2141,1,1
2141,True,2,2137,2,1
2141,True,2,1117,10,1
2153,True,2,2137,4,1
2153,True,2,2089,6,1
2153,True,2,1129,10,1
2161,True,2,113,11,1
2161,True,2,2129,5,1
2161,True,2,2153,3,1
2203,True,2,3,4,7
2179,True,2,1667,9,1
2179,True,2,131,11,1
2207,True,2,2203,2,1
2207,True,2,2143,6,1
2207,True,2,1951,8,1
2213,True,2,47,2,2
2213,True,2,13,4,3
2221,True,2,2213,3,1
2221,True,2,173,11,1
2221,True,2,1709,9,1
2237,True,2,1213,10,1
2237,True,2,2221,4,1
2251,True,2,3,6,7
2251,True,2,2243,3,1
2267,True,2,2011,8,1
2267,True,2,2251,4,1
2267,True,2,2203,6,1
2243,True,2,2179,6,1
2243,True,2,2239,2,1
2243,True,2,1987,8,1
2239,True,2,2237,1,1
2239,True,2,2111,7,1
2239,True,2,2207,5,1
2239,True,2,191,11,1
2269,True,2,2141,7,1
2269,True,2,2237,5,1
2269,True,2,2267,1,1
2273,True,2,2017,8,1
2273,True,2,2269,2,1
2273,True,2,47,6,2
2273,True,2,1249,10,1
2287,True,2,239,11,1
2293,False,,,,
2281,True,2,2273,3,1
2281,True,2,233,11,1
2281,True,2,2153,7,1
2297,True,2,2281,4,1
2297,True,2,2293,2,1
2309,True,2,2293,4,1
2309,True,2,2053,8,1
2311,True,2,2309,1,1
2311,True,2,263,11,1
2333,True,2,2269,6,1
2339,True,2,2083,8,1
2341,True,2,293,11,1
2341,True,2,2309,5,1
2341,True,2,2213,7,1
2341,True,2,2333,3,1
2341,True,2,2339,1,1
2347,True,2,2339,3,1
2351,True,2,1327,10,1
2351,True,2,2347,2,1
2351,True,2,2287,6,1
2371,True,2,2243,7,1
2371,True,2,2339,5,1
2357,True,2,2341,4,1
2357,True,2,2293,6,1
2377,False,,,,
2383,True,2,2381,1,1
2383,True,2,2351,5,1
2383,True,2,1871,9,1
2381,True,2,2377,2,1
2389,True,2,2357,5,1
2389,True,2,1877,9,1
2389,True,2,2381,3,1
2399,True,2,2143,8,1
2399,True,2,2383,4,1
2393,True,2,2137,8,1
2393,True,2,37,10,2
2393,True,2,2377,4,1
2393,True,2,2389,2,1
2411,True,2,2347,6,1
2417,True,2,7,4,4
2417,True,2,2161,8,1
2423,True,2,1399,10,1
2437,True,2,2309,7,1
2437,True,2,389,11,1
2441,True,2,2437,2,1
2441,True,2,2377,6,1
2467,True,2,2339,7,1
2467,True,2,2459,3,1
2467,True,2,419,11,1
2459,True,2,2203,8,1
2447,True,2,1423,10,1
2447,True,2,2383,6,1
2473,True,2,2441,5,1
2477,True,2,1453,10,1
2477,True,2,2473,2,1
2477,True,2,2221,8,1
2503,False,,,,
2521,True,2,2393,7,1
2531,True,2,2467,6,1
2539,True,2,491,11,1
2539,True,2,2411,7,1
2539,True,2,2531,3,1
2539,True,2,2027,9,1
2543,True,2,2539,2,1
2543,True,2,2287,8,1
2549,True,2,2293,8,1
2551,True,2,2423,7,1
2551,True,2,2549,1,1
2551,True,2,503,11,1
2551,True,2,2039,9,1
2551,True,2,2543,3,1
2557,True,2,509,11,1
2557,True,2,2549,3,1
2579,False,,,,
2593,True,2,2081,9,1
2593,True,2,2591,1,1
2591,True,2,1567,10,1
2609,True,2,2593,4,1
2621,True,2,1597,10,1
2621,True,2,2617,2,1
2621,True,2,2557,6,1
2657,True,2,2593,6,1
2657,True,2,7,8,4
2617,True,2,569,11,1
2617,True,2,2609,3,1
2633,True,2,2377,8,1
2633,True,2,1609,10,1
2633,True,2,2617,4,1
2647,True,2,599,11,1
2659,True,2,2657,1,1
2659,True,2,2531,7,1
2663,True,2,2647,4,1
2663,True,2,2659,2,1
2677,True,2,2549,7,1
2683,False,,,,
2671,True,2,2663,3,1
2671,True,2,2543,7,1
2687,True,2,2671,4,1
2687,True,2,2683,2,1
2687,True,2,1663,10,1
2689,True,2,2687,1,1
2689,True,2,641,11,1
2689,True,2,2657,5,1
2693,True,2,2437,8,1
2693,True,2,2677,4,1
2693,True,2,2689,2,1
2693,True,2,1669,10,1
2699,True,2,2683,4,1
2699,True,2,3,9,7
2707,True,2,2699,3,1
2707,True,2,2579,7,1
2707,True,2,659,11,1
2713,True,2,2711,1,1
2731,True,2,2729,1,1
2731,True,2,683,11,1
2731,True,2,2699,5,1
2719,True,2,2591,7,1
2719,True,2,2711,3,1
2719,True,2,2207,9,1
2719,True,2,2687,5,1
2729,True,2,2713,4,1
2729,True,2,2473,8,1
2711,True,2,2647,6,1
2711,True,2,2707,2,1
2741,True,2,2677,6,1
2749,True,2,2621,7,1
2749,True,2,701,11,1
2749,True,2,2237,9,1
2749,True,2,2741,3,1
2777,True,2,2713,6,1
2777,True,2,3,11,6
2777,True,2,1753,10,1
2777,True,2,2521,8,1
2767,True,2,719,11,1
2789,False,,,,
2791,True,2,2789,1,1
2791,True,2,2663,7,1
2791,True,2,743,11,1
2753,True,2,2689,6,1
2753,True,2,2749,2,1
2797,True,2,2789,3,1
2803,True,2,2801,1,1
2833,True,2,2801,5,1
2837,True,2,2833,2,1
