n,has_partitions,p,q,j,k
1319,True,2,1303,4,1
1319,True,2,1063,8,1
1367,True,2,1303,6,1
1367,True,2,7,10,3
1381,True,2,1373,3,1
1399,True,2,1367,5,1
1399,True,2,887,9,1
1423,True,2,911,9,1
1409,True,2,1153,8,1
1427,True,2,1423,2,1
1427,True,2,1171,8,1
1433,True,2,37,6,2
1433,True,2,1429,2,1
1433,True,2,409,10,1
1429,True,2,1427,1,1
1429,True,2,1301,7,1
1447,True,2,1319,7,1
1447,True,2,1439,3,1
1451,True,2,1447,2,1
1459,True,2,11,7,3
1459,True,2,947,9,1
1459,True,2,1451,3,1
1459,True,2,1427,5,1
1439,True,2,1423,4,1
1453,True,2,1451,1,1
1453,True,2,941,9,1
1481,True,2,457,10,1
1471,True,2,1439,5,1
1483,True,2,1481,1,1
1483,True,2,971,9,1
1483,True,2,1451,5,1
1489,True,2,1487,1,1
1489,True,2,1361,7,1
1489,True,2,977,9,1
1489,True,2,1481,3,1
1499,True,2,1483,4,1
1493,True,2,1237,8,1
1493,True,2,1429,6,1
1493,True,2,1489,2,1
1487,True,2,1423,6,1
1487,True,2,1231,8,1
1487,True,2,463,10,1
1487,True,2,1483,2,1
1487,True,2,1471,4,1
1523,True,2,1459,6,1
1523,True,2,499,10,1
1511,True,2,1447,6,1
1511,True,2,487,10,1
1531,True,2,1499,5,1
1531,True,2,1523,3,1
1531,True,2,1019,9,1
1543,True,2,1511,5,1
1543,True,2,1031,9,1
1553,True,2,23,10,2
1553,True,2,1297,8,1
1553,True,2,1489,6,1
1553,True,2,1549,2,1
1549,False,,,,
1559,True,2,1543,4,1
1559,True,2,1303,8,1
1567,True,2,1559,3,1
1567,True,2,1439,7,1
1571,True,2,547,10,1
1571,True,2,1567,2,1
1579,True,2,1571,3,1
1579,True,2,1451,7,1
1597,False,,,,
1607,True,2,1543,6,1
1583,True,2,1567,4,1
1583,True,2,1579,2,1
1583,True,2,1327,8,1
1601,True,2,1597,2,1
1601,True,2,577,10,1
1613,True,2,1597,4,1
