n,has_partitions,p,q,j,k
619,True,2.0,107.0,9.0,1.0
631,True,2.0,599.0,5.0,1.0
631,True,2.0,503.0,7.0,1.0
641,True,2.0,5.0,4.0,4.0
641,True,2.0,577.0,6.0,1.0
643,True,2.0,131.0,9.0,1.0
643,True,2.0,641.0,1.0,1.0
647,True,2.0,643.0,2.0,1.0
647,True,2.0,631.0,4.0,1.0
653,True,2.0,397.0,8.0,1.0
659,True,2.0,643.0,4.0,1.0
661,True,2.0,149.0,9.0,1.0
661,True,2.0,659.0,1.0,1.0
661,True,2.0,653.0,3.0,1.0
673,True,2.0,641.0,5.0,1.0
677,True,2.0,661.0,4.0,1.0
677,True,2.0,613.0,6.0,1.0
677,True,2.0,673.0,2.0,1.0
677,True,2.0,421.0,8.0,1.0
683,True,2.0,619.0,6.0,1.0
691,True,2.0,659.0,5.0,1.0
691,True,2.0,563.0,7.0,1.0
691,True,2.0,179.0,9.0,1.0
691,True,2.0,683.0,3.0,1.0
701,False,,,,
709,True,2.0,701.0,3.0,1.0
709,True,2.0,677.0,5.0,1.0
709,True,2.0,197.0,9.0,1.0
719,True,2.0,463.0,8.0,1.0
727,True,2.0,599.0,7.0,1.0
727,True,2.0,719.0,3.0,1.0
733,True,2.0,701.0,5.0,1.0
733,True,2.0,3.0,2.0,6.0
739,True,2.0,227.0,9.0,1.0
743,True,2.0,739.0,2.0,1.0
743,True,2.0,727.0,4.0,1.0
743,True,2.0,487.0,8.0,1.0
751,True,2.0,743.0,3.0,1.0
751,True,2.0,239.0,9.0,1.0
751,True,2.0,719.0,5.0,1.0
757,False,,,,
761,True,2.0,3.0,5.0,6.0
761,True,2.0,757.0,2.0,1.0
769,True,2.0,641.0,7.0,1.0
769,True,2.0,761.0,3.0,1.0
769,True,2.0,257.0,9.0,1.0
773,True,2.0,757.0,4.0,1.0
773,True,2.0,769.0,2.0,1.0
773,True,2.0,709.0,6.0,1.0
787,True,2.0,659.0,7.0,1.0
797,True,2.0,541.0,8.0,1.0
797,True,2.0,733.0,6.0,1.0
809,False,,,,
811,True,2.0,683.0,7.0,1.0
811,True,2.0,809.0,1.0,1.0
821,True,2.0,757.0,6.0,1.0
823,True,2.0,821.0,1.0,1.0
823,True,2.0,311.0,9.0,1.0
827,True,2.0,811.0,4.0,1.0
827,True,2.0,823.0,2.0,1.0
827,True,2.0,571.0,8.0,1.0
829,True,2.0,701.0,7.0,1.0
829,True,2.0,797.0,5.0,1.0
829,True,2.0,827.0,1.0,1.0
829,True,2.0,821.0,3.0,1.0
829,True,2.0,317.0,9.0,1.0
839,True,2.0,823.0,4.0,1.0
853,True,2.0,821.0,5.0,1.0
857,True,2.0,29.0,4.0,2.0
857,True,2.0,601.0,8.0,1.0
857,True,2.0,853.0,2.0,1.0
857,True,2.0,3.0,7.0,6.0
859,True,2.0,827.0,5.0,1.0
859,True,2.0,347.0,9.0,1.0
859,True,2.0,857.0,1.0,1.0
863,True,2.0,859.0,2.0,1.0
863,True,2.0,607.0,8.0,1.0
877,False,,,,
881,True,2.0,5.0,8.0,4.0
881,True,2.0,877.0,2.0,1.0
